,INST CODE,INSTITUTE NAME,PLACE,DIST,COED,TYPE,YEAR OF ESTB,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS GEN OU,EWS GIRLS OU,TUITION FEE,AFFILIATED
34,ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,CIV,CIVIL ENGINEERING,91905.0,108037,108037.0,108037,91905.0,108037,91905.0,108037,91905.0,108037,91905.0,108037,91905.0,108037,91905.0,108037,91905.0,108037,60000,JNTUH
35,ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,CSE,COMPUTER SCIENCE AND ENGINEERING,50679.0,55707,61789.0,62856,64414.0,67909,54981.0,55707,66782.0,71304,111372.0,111372,101881.0,101881,79219.0,79219,56347.0,56347,60000,JNTUH
36,ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",68426.0,82478,109486.0,116560,100693.0,100693,68426.0,82478,87153.0,107972,106151.0,114033,123976.0,125450,121510.0,121510,89644.0,89644,60000,JNTUH
37,ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,COED,PVT,2008,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,95573.0,95573,117899.0,117899,112629.0,115054,95573.0,95573,104911.0,107972,101414.0,101414,112550.0,125819,122429.0,122429,95573.0,95573,60000,JNTUH
38,AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,COED,PVT,2003,CSE,COMPUTER SCIENCE AND ENGINEERING,36055.0,36055,62392.0,79674,49166.0,49166,75168.0,75168,45870.0,51124,51943.0,70441,84830.0,90554,49622.0,84202,46906.0,48523,45000,JNTUH
39,AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,COED,PVT,2003,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,49374.0,54656,98799.0,105613,86836.0,86836,72772.0,72772,69278.0,86324,114472.0,114472,122710.0,123088,76420.0,122069,70955.0,70955,45000,JNTUH
40,AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,COED,PVT,2003,MEC,MECHANICAL ENGINEERING,100161.0,116765,100161.0,116765,112862.0,116765,100161.0,116765,100161.0,116765,100161.0,116765,125150.0,125150,100161.0,119434,100161.0,116765,45000,JNTUH
41,AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,1999,CIV,CIVIL ENGINEERING,115558.0,115558,115558.0,115558,115558.0,115558,115558.0,115558,115558.0,115558,115558.0,115558,122114.0,124262,115558.0,125369,115558.0,115558,83000,JNTUH
42,AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,1999,CSE,COMPUTER SCIENCE AND ENGINEERING,45899.0,46323,82999.0,94112,57363.0,58611,70768.0,96879,56086.0,57563,91224.0,114826,102133.0,109776,79969.0,90105,53233.0,53233,83000,JNTUH
43,AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,1999,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",57220.0,73445,116131.0,116131,84198.0,84198,57220.0,73445,71386.0,73445,102740.0,102740,124200.0,124696,119542.0,120559,68658.0,73445,83000,JNTUH
