S.No,Institute Code,Institute Name,Place,Dist. Name,Region,CollegeType,Minority,Co-Educ.,Affil.to,BranchCode,fee,Convener Seats
73,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,OU,PVT,NA,COED,JNTUH,INF,89000,84
74,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,OU,PVT,NA,COED,JNTUH,MEC,89000,42
75,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,OU,PVT,NA,COED,JNTUH,CIV,68000,42
76,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,OU,PVT,NA,COED,JNTUH,CSD,68000,42
77,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,OU,PVT,NA,COED,JNTUH,CSE,68000,126
78,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,OU,PVT,NA,COED,JNTUH,CSM,68000,42
79,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,OU,PVT,NA,COED,JNTUH,CSO,68000,42
80,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,OU,PVT,NA,COED,JNTUH,CSW,68000,42
81,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,OU,PVT,NA,COED,JNTUH,ECE,68000,126
82,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,OU,PVT,NA,COED,JNTUH,EEE,68000,42
83,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGL,OU,PVT,NA,COED,JNTUH,MEC,68000,42
84,BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,OU,PVT,NA,COED,JNTUH,CIV,63000,21
85,BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,OU,PVT,NA,COED,JNTUH,CSE,63000,42
86,BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,OU,PVT,NA,COED,JNTUH,CSM,63000,42
87,BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,OU,PVT,NA,COED,JNTUH,ECE,63000,32
88,BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,OU,PVT,NA,COED,JNTUH,EEE,63000,42
89,BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,OU,PVT,NA,COED,JNTUH,MEC,63000,21
90,BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,OU,PVT,NA,COED,JNTUH,CIV,95000,42
91,BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,OU,PVT,NA,COED,JNTUH,CSD,95000,42
92,BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,OU,PVT,NA,COED,JNTUH,CSE,95000,42
93,BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,OU,PVT,NA,COED,JNTUH,CSM,95000,42
94,BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,OU,PVT,NA,COED,JNTUH,ECE,95000,42
95,BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,OU,PVT,NA,COED,JNTUH,EEE,95000,42
96,BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,OU,PVT,NA,COED,JNTUH,MEC,95000,21
97,BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,OU,PVT,NA,COED,JNTUH,MIN,95000,21
98,BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYD,OU,PVT,NA,GIRLS,JNTUH,CSE,75000,84
99,BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYD,OU,PVT,NA,GIRLS,JNTUH,CSM,75000,42
100,BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYD,OU,PVT,NA,GIRLS,JNTUH,ECE,75000,84
101,BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYD,OU,PVT,NA,GIRLS,JNTUH,EEE,75000,42
102,BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYD,OU,PVT,NA,GIRLS,JNTUH,INF,75000,84
103,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,AID,72000,42
104,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,CIV,72000,21
105,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,CSD,72000,42
106,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,CSE,72000,126
107,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,CSM,72000,42
108,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,ECE,72000,42
109,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,EEE,72000,21
110,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,MEC,72000,42
111,BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,AID,68000,42
112,BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,CIV,68000,42
113,BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,CSC,68000,42
114,BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,CSD,68000,42
115,BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,CSE,68000,126
116,BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,CSM,68000,42
117,BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,CSW,68000,42
118,BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,ECE,68000,42
119,BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,EEE,68000,21
120,BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,MEC,68000,21
121,BSKR,BHASKAR ENGINEERING COLLEGE,YENKAPALLY,RR,OU,PVT,NA,COED,JNTUH,AID,50000,42
122,BSKR,BHASKAR ENGINEERING COLLEGE,YENKAPALLY,RR,OU,PVT,NA,COED,JNTUH,CSE,50000,84
123,BSKR,BHASKAR ENGINEERING COLLEGE,YENKAPALLY,RR,OU,PVT,NA,COED,JNTUH,CSM,50000,42
124,BSKR,BHASKAR ENGINEERING COLLEGE,YENKAPALLY,RR,OU,PVT,NA,COED,JNTUH,ECE,50000,21
125,BSKR,BHASKAR ENGINEERING COLLEGE,YENKAPALLY,RR,OU,PVT,NA,COED,JNTUH,INF,50000,21
126,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,OU,PVT,NA,COED,JNTUH,AID,135000,42
127,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,OU,PVT,NA,COED,JNTUH,BME,135000,15
128,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,OU,PVT,NA,COED,JNTUH,CHE,135000,42
129,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,OU,PVT,NA,COED,JNTUH,CIV,135000,42
130,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,OU,PVT,NA,COED,JNTUH,CSB,135000,42
131,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,OU,PVT,NA,COED,JNTUH,CSD,135000,84
132,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,OU,PVT,NA,COED,JNTUH,CSE,135000,210
133,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,OU,PVT,NA,COED,JNTUH,CSM,135000,84
134,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,OU,PVT,NA,COED,JNTUH,ECE,135000,168
135,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,OU,PVT,NA,COED,JNTUH,EEE,135000,42
136,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,OU,PVT,NA,COED,JNTUH,INF,135000,84
